Latitude,Longitude,Stop Name,Stop Status
40.620993,-73.955078,AV L/OCEAN AV,at stop
40.633259,-74.005857,60 ST/FT HAMILTON PY,at stop
40.639369,-74.015982,60 ST/5 AV,at stop
40.636709,-74.036498,SHORE RD/71 ST,at stop
40.636783,-74.034448,NARROWS AV/MACKAY PL,at stop
40.616838,-73.978675,60 ST/BAY PY,approaching
40.615283,-73.928775,FLATBUSH AV/FILLMORE AV,approaching
40.637511,-74.031764,BAY RIDGE AV/COLONIAL RD,approaching
40.64048,-74.017816,4 AV/60 ST,approaching
40.621926,-73.946605,AV L/NOSTRAND AV,approaching
40.618403,-73.95645,AV M/E 18 ST,approaching
40.62214,-73.944647,AV L/NOSTRAND AV,approaching
40.614392,-73.97074,AV N/E 3 ST,approaching
40.633638,-74.006485,60 ST/FT HAMILTON PY,approaching
40.628089,-73.997294,60 ST/14 AV,approaching
40.623718,-73.990065,60 ST/16 AV,< 1 stop away
40.617127,-73.968031,AV M/E 9 ST,< 1 stop away
40.636945,-74.0363,BAY RIDGE AV/SHORE RD,< 1 stop away
40.608574,-73.920907,FLATBUSH AV/AV T,< 1 stop away
40.608574,-73.920907,FLATBUSH AV/AV T,< 1 stop away
